name,id,nametype,recclass,mass,year,reclat,reclong,point_coordinates,year_only
Palinshih,18077,Valid,Iron,18000.0,1914-01-01,43.483330,118.616670,"['43.483330', '118.616670']",1914.0
Palmyra,18079,Valid,L3,135.0,1926-01-01,39.800000,-91.500000,"['39.800000', '-91.500000']",1926.0
Palolo Valley,18082,Valid,H5,682.0,1949-01-01,21.300000,-157.783330,"['21.300000', '-157.783330']",1949.0
Dominion Range 03239,32591,Valid,L6,,2002-01-01,,,"[None, None]",2002.0
Pampanga,18093,Valid,L5,10500.0,1859-01-01,15.083330,120.700000,"['15.083330', '120.700000']",1859.0
Pantar,18098,Valid,H5,2130.0,1938-01-01,8.066670,124.283330,"['8.066670', '124.283330']",1938.0
Paragould,18101,Valid,LL5,408000.0,1930-01-01,36.066670,-90.500000,"['36.066670', '-90.500000']",1930.0
Parambu,18102,Valid,LL5,2000.0,1967-01-01,-6.233330,-40.700000,"['-6.233330', '-40.700000']",1967.0
Paranaiba,18103,Valid,L6,100000.0,1956-01-01,-19.133330,-51.666670,"['-19.133330', '-51.666670']",1956.0
Park Forest,18106,Valid,L5,18000.0,2003-01-01,41.484720,-87.679170,"['41.484720', '-87.679170']",2003.0
Parnallee,18108,Valid,LL3.6,77600.0,1857-01-01,9.233330,78.350000,"['9.233330', '78.350000']",1857.0
Parsa,18109,Valid,EH3,800.0,1942-01-01,26.200000,85.400000,"['26.200000', '85.400000']",1942.0
Pasamonte,18110,Valid,Eucrite-pmict,5100.0,1933-01-01,36.216670,-103.400000,"['36.216670', '-103.400000']",1933.0
Patora,18112,Valid,H6,4375.0,1969-01-01,20.936940,82.050000,"['20.936940', '82.050000']",1969.0
Patrimonio,18116,Valid,L6,2121.0,1950-01-01,-19.533330,-48.566670,"['-19.533330', '-48.566670']",1950.0
Patti,18118,Valid,Iron,12.0,1922-01-01,38.133330,14.966670,"['38.133330', '14.966670']",1922.0
Patwar,18171,Valid,Mesosiderite-A1,37350.0,1935-01-01,23.150000,91.183330,"['23.150000', '91.183330']",1935.0
Pavel,18173,Valid,H5,2968.0,1966-01-01,43.466670,25.516670,"['43.466670', '25.516670']",1966.0
Pavlodar (stone),18175,Valid,H5,,1938-01-01,52.300000,77.033330,"['52.300000', '77.033330']",1938.0
Pavlograd,18176,Valid,L6,40000.0,1826-01-01,48.533330,35.983330,"['48.533330', '35.983330']",1826.0
Pavlovka,18177,Valid,Howardite,2000.0,1882-01-01,52.033330,43.000000,"['52.033330', '43.000000']",1882.0
Pê,18179,Valid,L6,,1989-01-01,11.333670,-3.542170,"['11.333670', '-3.542170']",1989.0
Peace River,18180,Valid,L6,45760.0,1963-01-01,56.133330,-117.933330,"['56.133330', '-117.933330']",1963.0
Peckelsheim,18181,Valid,Diogenite-pm,,1953-01-01,51.666670,9.250000,"['51.666670', '9.250000']",1953.0
Peekskill,18782,Valid,H6,12570.0,1992-01-01,41.283330,-73.916670,"['41.283330', '-73.916670']",1992.0
Peña Blanca Spring,18786,Valid,Aubrite,70000.0,1946-01-01,30.125000,-103.116670,"['30.125000', '-103.116670']",1946.0
Peramiho,18792,Valid,Eucrite-mmict,165.0,1899-01-01,-10.666670,35.500000,"['-10.666670', '35.500000']",1899.0
Perpeti,18793,Valid,L6,23474.0,1935-01-01,23.325000,91.000000,"['23.325000', '91.000000']",1935.0
Perth,18797,Valid,LL5,2.0,1830-01-01,56.400000,-3.433330,"['56.400000', '-3.433330']",1830.0
Pervomaisky,18798,Valid,L6,66000.0,1933-01-01,56.633330,39.433330,"['56.633330', '39.433330']",1933.0
Pesyanoe,18799,Valid,Aubrite,3393.0,1933-01-01,55.500000,66.083330,"['55.500000', '66.083330']",1933.0
Pétèlkolé,18800,Valid,H5,189.0,1995-01-01,14.052000,0.420000,"['14.052000', '0.420000']",1995.0
Petersburg,18801,Valid,Eucrite-pmict,1800.0,1855-01-01,35.300000,-86.633330,"['35.300000', '-86.633330']",1855.0
Pettiswood,18804,Valid,Stone-uncl,,1779-01-01,53.533330,-7.333330,"['53.533330', '-7.333330']",1779.0
Phillips County (stone),18808,Valid,L6,57900.0,1901-01-01,40.000000,-99.250000,"['40.000000', '-99.250000']",1901.0
Phu Hong,18809,Valid,H4,500.0,1887-01-01,11.250000,108.583330,"['11.250000', '108.583330']",1887.0
Phum Sambo,18811,Valid,H4,7800.0,1933-01-01,12.000000,105.483330,"['12.000000', '105.483330']",1933.0
Phuoc-Binh,18812,Valid,L5,11000.0,1941-01-01,15.716670,108.100000,"['15.716670', '108.100000']",1941.0
Piancaldoli,18813,Valid,LL3.4,,1968-01-01,44.244170,11.502220,"['44.244170', '11.502220']",1968.0
Picote,18816,Valid,Stone-uncl,,1843-01-01,41.366670,-6.233330,"['41.366670', '-6.233330']",1843.0
Pillistfer,18822,Valid,EL6,23250.0,1863-01-01,58.666670,25.733330,"['58.666670', '25.733330']",1863.0
Piplia Kalan,18831,Valid,Eucrite-mmict,42000.0,1996-01-01,26.034720,73.941670,"['26.034720', '73.941670']",1996.0
Piquetberg,18832,Valid,H,37.0,1881-01-01,-32.866670,18.716670,"['-32.866670', '18.716670']",1881.0
Pirgunje,18834,Valid,L6,842.0,1882-01-01,25.800000,88.450000,"['25.800000', '88.450000']",1882.0
Pirthalla,18835,Valid,H6,1161.0,1884-01-01,29.583330,76.000000,"['29.583330', '76.000000']",1884.0
Pitts,18837,Valid,"Iron, IAB-ung",3760.0,1921-01-01,31.950000,-83.516670,"['31.950000', '-83.516670']",1921.0
Plantersville,18846,Valid,H6,2085.0,1930-01-01,30.700000,-96.116670,"['30.700000', '-96.116670']",1930.0
Pleşcoi,51706,Valid,L5-6,6913.0,2008-01-01,45.275000,26.709720,"['45.275000', '26.709720']",2008.0
Ploschkovitz,18849,Valid,L5,39.0,1723-01-01,50.533330,14.116670,"['50.533330', '14.116670']",1723.0
Pnompehn,18851,Valid,L6,96.0,1868-01-01,11.583330,104.916670,"['11.583330', '104.916670']",1868.0
Dominion Range 03240,32592,Valid,LL5,,2002-01-01,,,"[None, None]",2002.0
Pohlitz,18853,Valid,L5,3000.0,1819-01-01,50.933330,12.133330,"['50.933330', '12.133330']",1819.0
Pokhra,18858,Valid,H5,350.0,1866-01-01,26.716670,82.666670,"['26.716670', '82.666670']",1866.0
Pollen,18860,Valid,CM2,,1942-01-01,66.348330,14.015000,"['66.348330', '14.015000']",1942.0
Pontlyfni,18865,Valid,Winonaite,157.0,1931-01-01,53.036390,-4.319440,"['53.036390', '-4.319440']",1931.0
Portales Valley,18874,Valid,H6,71400.0,1998-01-01,34.175000,-103.295000,"['34.175000', '-103.295000']",1998.0
Portugal,18876,Valid,Stone-uncl,4500.0,1796-01-01,38.500000,-8.000000,"['38.500000', '-8.000000']",1796.0
Po-wang Chen,18879,Valid,LL,665.0,1933-01-01,31.416670,118.500000,"['31.416670', '118.500000']",1933.0
Prambachkirchen,18883,Valid,L6,2125.0,1932-01-01,48.302500,13.940830,"['48.302500', '13.940830']",1932.0
Pribram,18887,Valid,H5,5555.0,1959-01-01,49.666670,14.033330,"['49.666670', '14.033330']",1959.0
Pricetown,18888,Valid,L6,900.0,1893-01-01,39.116670,-83.850000,"['39.116670', '-83.850000']",1893.0
Puerto Lápice,45984,Valid,Eucrite-br,500.0,2007-01-01,39.350000,-3.516670,"['39.350000', '-3.516670']",2007.0
Pulsora,18899,Valid,H5,560.0,1863-01-01,23.366670,75.183330,"['23.366670', '75.183330']",1863.0
Pultusk,18901,Valid,H5,250000.0,1868-01-01,52.766670,21.266670,"['52.766670', '21.266670']",1868.0
Punganaru,18902,Valid,Stone-uncl,100.0,1811-01-01,13.333330,78.950000,"['13.333330', '78.950000']",1811.0
Putinga,18905,Valid,L6,300000.0,1937-01-01,-29.033330,-53.050000,"['-29.033330', '-53.050000']",1937.0
Qidong,18907,Valid,L/LL5,1275.0,1982-01-01,32.083330,121.500000,"['32.083330', '121.500000']",1982.0
Qingzhen,18908,Valid,EH3,2600.0,1976-01-01,26.533330,106.466670,"['26.533330', '106.466670']",1976.0
Queen's Mercy,22357,Valid,H6,7000.0,1925-01-01,-30.116670,28.700000,"['-30.116670', '28.700000']",1925.0
Quenggouk,22358,Valid,H4,6045.0,1857-01-01,17.766670,95.183330,"['17.766670', '95.183330']",1857.0
Quesa,22360,Valid,"Iron, IAB-ung",10750.0,1898-01-01,39.000000,-0.666670,"['39.000000', '-0.666670']",1898.0
Quija,22361,Valid,H,17450.0,1990-01-01,44.616670,126.133330,"['44.616670', '126.133330']",1990.0
Quincay,22363,Valid,L6,65.0,1851-01-01,46.600000,0.250000,"['46.600000', '0.250000']",1851.0
Raco,22368,Valid,H5,5000.0,1957-01-01,-26.666670,-65.450000,"['-26.666670', '-65.450000']",1957.0
Raghunathpura,22371,Valid,"Iron, IIAB",10200.0,1986-01-01,27.725280,76.465000,"['27.725280', '76.465000']",1986.0
Rahimyar Khan,31302,Valid,L5,67225.0,1983-01-01,28.225000,70.200000,"['28.225000', '70.200000']",1983.0
Rakovka,22376,Valid,L6,9000.0,1878-01-01,52.983330,37.033330,"['52.983330', '37.033330']",1878.0
Ramnagar,22384,Valid,L6,3766.0,1940-01-01,26.450000,82.900000,"['26.450000', '82.900000']",1940.0
Rampurhat,22385,Valid,LL,100.0,1916-01-01,24.166670,87.766670,"['24.166670', '87.766670']",1916.0
Ramsdorf,22386,Valid,L6,4682.0,1958-01-01,51.883330,6.933330,"['51.883330', '6.933330']",1958.0
Ranchapur,22387,Valid,H4,,1917-01-01,23.983330,87.083330,"['23.983330', '87.083330']",1917.0
Rancho de la Presa,22390,Valid,H5,300.0,1899-01-01,19.866670,-100.816670,"['19.866670', '-100.816670']",1899.0
Rangala,22392,Valid,L6,,1937-01-01,25.383330,72.016670,"['25.383330', '72.016670']",1937.0
